Rank,County,Population
1,Franklin,1321414
2,Cuyahoga,1249387
3,Hamilton,826139
4,Summit,537633
5,Montgomery,535840
6,Lucas,429191
7,Butler,390234
8,Stark,373834
9,Lorain,315595
10,Warren,246553
11,Lake,232023
12,Mahoning,226762
13,Delaware,220740
14,Clermont,209642
15,Trumbull,201335
16,Medina,183092
17,Licking,180401
18,Greene,168412
19,Portage,162382
20,Fairfield,161064
21,Clark,135633
22,Wood,132472
23,Richland,125195
24,Wayne,116710
25,Miami,109264
26,Allen,101670
27,Columbiana,101310
28,Ashtabula,97337
29,Geauga,95565
30,Tuscarawas,92500
31,Muskingum,86408
32,Ross,76891
33,Erie,74852
34,Hancock,74656
35,Scioto,73346
36,Belmont,65849
37,Marion,65291
38,Union,64971
39,Jefferson,64789
40,Knox,62897
41,Athens,62056
42,Washington,59423
43,Pickaway,59333
44,Sandusky,58715
45,Huron,58367
46,Lawrence,57445
47,Seneca,54906
48,Ashland,52316
49,Darke,51597
50,Shelby,47977
51,Auglaize,46141
52,Logan,46035
53,Madison,44386
54,Holmes,44271
55,Brown,43662
56,Highland,43354
57,Fulton,42450
58,Mercer,42309
59,Clinton,42004
60,Crawford,41754
61,Preble,40867
62,Ottawa,40104
63,Champaign,38699
64,Guernsey,38287
65,Defiance,38144
66,Williams,36716
67,Coshocton,36618
68,Perry,35460
69,Morrow,35151
70,Putnam,34318
71,Jackson,32511
72,Hardin,30621
73,Gallia,29158
74,Fayette,28906
75,Van Wert,28732
76,Hocking,28097
77,Adams,27542
78,Henry,27538
79,Pike,27089
80,Carroll,26691
81,Meigs,22049
82,Wyandot,21708
83,Paulding,18871
84,Harrison,14477
85,Noble,14176
86,Morgan,13682
87,Monroe,13329
88,Vinton,12696